job,marital,education,default,housing,loan,contact,day,month,poutcome,hubo_contacto_?,age,balance_log,campaign_log,pdays_dias_transcurridos_log,previous_log,get_account_?
unemployed,married,primary,no,no,no,cellular,19,oct,no_aporto_esta_informacion,no,30,8.537387898701757,0.6931471805599453,0.0,0.0,no
services,married,secondary,no,yes,yes,cellular,11,may,failure,yes,33,9.000113045928519,0.6931471805599453,5.828945617610208,1.6094379124341005,no
management,single,tertiary,no,yes,no,cellular,16,apr,failure,yes,35,8.447843113281444,0.6931471805599453,5.802118375377063,0.6931471805599453,no
management,married,tertiary,no,yes,yes,no_aporto_esta_informacion,3,jun,no_aporto_esta_informacion,no,30,8.474494436883122,1.6094379124341005,0.0,0.0,no
blue-collar,married,secondary,no,yes,no,no_aporto_esta_informacion,5,may,no_aporto_esta_informacion,no,59,8.106212902619962,0.6931471805599453,0.0,0.0,no
management,single,tertiary,no,no,no,cellular,23,feb,failure,yes,35,8.30943074214033,1.0986122886681098,5.176149732573829,1.3862943611198906,no
self-employed,married,tertiary,no,yes,no,cellular,14,may,otro_resultado,yes,36,8.19478163844336,0.6931471805599453,5.802118375377063,1.0986122886681098,no
technician,married,secondary,no,yes,no,cellular,6,may,no_aporto_esta_informacion,no,39,8.149601735736155,1.0986122886681098,0.0,0.0,no
entrepreneur,married,tertiary,no,yes,no,no_aporto_esta_informacion,14,may,no_aporto_esta_informacion,no,41,8.170751423757535,1.0986122886681098,0.0,0.0,no
services,married,primary,no,yes,yes,cellular,17,apr,failure,yes,43,8.079308192051961,0.6931471805599453,4.997212273764115,1.0986122886681098,no
services,married,secondary,no,yes,no,no_aporto_esta_informacion,20,may,no_aporto_esta_informacion,no,39,9.448490755396914,0.6931471805599453,0.0,0.0,no
admin.,married,secondary,no,yes,no,cellular,17,apr,no_aporto_esta_informacion,no,43,8.182838710766026,1.0986122886681098,0.0,0.0,no
technician,married,tertiary,no,no,no,cellular,13,aug,no_aporto_esta_informacion,no,36,8.39479954320217,1.0986122886681098,0.0,0.0,no
student,single,secondary,no,no,no,cellular,30,apr,no_aporto_esta_informacion,no,20,8.247220052745229,0.6931471805599453,0.0,0.0,yes
blue-collar,married,secondary,no,yes,yes,cellular,29,jan,failure,yes,31,8.209308411646937,0.6931471805599453,5.488937726156687,0.6931471805599453,no
management,married,tertiary,no,no,yes,cellular,29,aug,no_aporto_esta_informacion,no,40,8.163086375583216,1.0986122886681098,0.0,0.0,no
technician,married,secondary,no,no,no,cellular,27,aug,no_aporto_esta_informacion,no,56,8.90761234131913,1.791759469228055,0.0,0.0,no
admin.,single,tertiary,no,yes,no,cellular,20,apr,failure,yes,37,8.636219897837877,0.6931471805599453,5.030437921392435,1.0986122886681098,no
blue-collar,single,primary,no,yes,no,no_aporto_esta_informacion,23,may,no_aporto_esta_informacion,no,25,8.037220031133012,0.6931471805599453,0.0,0.0,no
services,married,secondary,no,no,no,cellular,7,jul,otro_resultado,yes,31,8.145259566516865,0.6931471805599453,5.030437921392435,0.6931471805599453,no
management,divorced,no_aporto_esta_informacion,no,yes,no,cellular,18,nov,no_aporto_esta_informacion,no,38,8.106212902619962,1.0986122886681098,0.0,0.0,no
management,divorced,tertiary,no,no,no,cellular,19,nov,no_aporto_esta_informacion,no,42,8.11102783819368,1.3862943611198906,0.0,0.0,no
services,single,secondary,no,no,no,no_aporto_esta_informacion,12,jun,no_aporto_esta_informacion,no,44,8.137688184977605,1.0986122886681098,0.0,0.0,no
entrepreneur,married,secondary,no,no,no,cellular,7,jul,no_aporto_esta_informacion,no,44,8.133880887949207,1.0986122886681098,0.0,0.0,no
housemaid,married,tertiary,no,no,no,cellular,30,jan,no_aporto_esta_informacion,no,26,8.257904193465674,1.3862943611198906,0.0,0.0,no
management,married,tertiary,no,no,no,cellular,20,nov,no_aporto_esta_informacion,no,41,9.12674134809987,1.0986122886681098,0.0,0.0,no
blue-collar,married,primary,no,yes,no,no_aporto_esta_informacion,5,may,no_aporto_esta_informacion,no,55,7.730174795246222,0.6931471805599453,0.0,0.0,no
retired,married,no_aporto_esta_informacion,no,no,no,telephone,17,aug,failure,yes,67,8.296795865770052,0.6931471805599453,4.663439094112067,1.0986122886681098,no
self-employed,married,secondary,no,no,yes,cellular,30,jul,no_aporto_esta_informacion,no,56,8.318498320504338,1.0986122886681098,0.0,0.0,no
admin.,married,secondary,no,no,yes,cellular,21,aug,no_aporto_esta_informacion,no,53,10.479342202122597,1.0986122886681098,0.0,0.0,no
retired,divorced,secondary,no,no,no,telephone,14,jul,no_aporto_esta_informacion,no,68,8.92319149068606,1.0986122886681098,0.0,0.0,yes
technician,married,secondary,no,no,no,cellular,27,aug,no_aporto_esta_informacion,no,31,8.156510226079966,1.3862943611198906,0.0,0.0,no
management,married,secondary,no,no,no,cellular,21,nov,no_aporto_esta_informacion,no,59,8.118802996980035,0.6931471805599453,0.0,0.0,no
management,single,tertiary,no,yes,no,cellular,26,aug,no_aporto_esta_informacion,no,32,8.674367865788236,1.9459101490553128,0.0,0.0,yes
technician,married,tertiary,no,no,no,cellular,13,aug,no_aporto_esta_informacion,no,49,8.422882511944996,1.3862943611198906,0.0,0.0,yes
admin.,divorced,secondary,no,yes,no,no_aporto_esta_informacion,14,may,no_aporto_esta_informacion,no,42,8.542080906924017,0.6931471805599453,0.0,0.0,no
retired,divorced,primary,no,no,no,telephone,22,oct,no_aporto_esta_informacion,no,78,8.173011311724972,0.6931471805599453,0.0,0.0,yes
blue-collar,married,secondary,no,yes,no,cellular,14,nov,no_aporto_esta_informacion,no,32,8.59489469908009,0.6931471805599453,0.0,0.0,yes
management,married,secondary,no,yes,no,cellular,6,may,failure,yes,33,8.88875674784872,0.6931471805599453,5.83773044716594,1.0986122886681098,yes
services,single,tertiary,no,yes,no,no_aporto_esta_informacion,30,may,no_aporto_esta_informacion,no,23,8.210124405164267,2.9444389791664403,0.0,0.0,no
management,single,tertiary,no,yes,no,no_aporto_esta_informacion,17,nov,failure,yes,38,9.63469265580283,1.0986122886681098,4.624972813284271,1.3862943611198906,no
management,single,tertiary,no,no,no,cellular,11,aug,no_aporto_esta_informacion,no,36,8.260492856573185,1.0986122886681098,0.0,0.0,no
blue-collar,married,secondary,no,yes,no,cellular,13,may,no_aporto_esta_informacion,no,52,8.39660622842712,0.6931471805599453,0.0,0.0,no
technician,married,tertiary,no,yes,no,cellular,13,may,no_aporto_esta_informacion,no,32,8.219056661060598,1.3862943611198906,0.0,0.0,no
technician,single,tertiary,no,yes,no,cellular,21,nov,no_aporto_esta_informacion,no,32,8.615951963439501,1.6094379124341005,0.0,0.0,no
management,single,tertiary,no,yes,no,no_aporto_esta_informacion,7,may,no_aporto_esta_informacion,no,34,8.339739766019143,1.0986122886681098,0.0,0.0,no
blue-collar,married,primary,no,no,no,telephone,2,feb,otro_resultado,yes,55,8.14902386805177,1.3862943611198906,1.791759469228055,1.0986122886681098,no
blue-collar,married,primary,no,yes,no,no_aporto_esta_informacion,21,may,no_aporto_esta_informacion,no,26,8.106212902619962,0.6931471805599453,0.0,0.0,no
entrepreneur,single,primary,yes,yes,yes,cellular,4,feb,no_aporto_esta_informacion,no,32,7.81035268372429,0.6931471805599453,0.0,0.0,no
admin.,married,no_aporto_esta_informacion,no,yes,no,cellular,27,jan,success,yes,61,8.980172205725008,0.6931471805599453,4.532599493153256,0.6931471805599453,yes
blue-collar,divorced,primary,no,no,no,no_aporto_esta_informacion,5,jun,no_aporto_esta_informacion,no,45,8.33302993974291,1.3862943611198906,0.0,0.0,yes
technician,single,secondary,no,yes,no,cellular,20,aug,no_aporto_esta_informacion,no,37,8.172729104865471,1.0986122886681098,0.0,0.0,no
technician,single,secondary,no,no,no,cellular,29,aug,no_aporto_esta_informacion,no,38,8.121183242078828,1.0986122886681098,0.0,0.0,no
technician,married,tertiary,no,yes,no,cellular,15,jun,otro_resultado,yes,34,8.487558386286548,0.6931471805599453,4.04305126783455,0.6931471805599453,yes
blue-collar,married,secondary,no,yes,no,cellular,14,jul,no_aporto_esta_informacion,no,53,8.620832226175724,1.3862943611198906,0.0,0.0,no
admin.,married,secondary,no,yes,no,telephone,15,jul,no_aporto_esta_informacion,no,48,8.760766624241956,1.0986122886681098,0.0,0.0,no
management,married,secondary,no,no,yes,telephone,4,feb,no_aporto_esta_informacion,no,57,8.130647968160584,0.6931471805599453,0.0,0.0,no
self-employed,single,tertiary,no,no,no,cellular,17,nov,no_aporto_esta_informacion,no,33,8.607033895416027,0.6931471805599453,0.0,0.0,no
retired,single,secondary,no,yes,yes,no_aporto_esta_informacion,26,may,no_aporto_esta_informacion,no,36,8.13622555490846,0.6931471805599453,0.0,0.0,no
technician,divorced,secondary,no,yes,yes,no_aporto_esta_informacion,15,may,no_aporto_esta_informacion,no,54,8.318498320504338,0.6931471805599453,0.0,0.0,no
blue-collar,married,primary,no,no,yes,telephone,8,jul,no_aporto_esta_informacion,no,41,7.937017489515454,1.3862943611198906,0.0,0.0,no
retired,married,secondary,no,yes,no,cellular,7,oct,no_aporto_esta_informacion,no,63,8.224163512637862,0.6931471805599453,0.0,0.0,no
management,married,tertiary,no,no,no,cellular,13,aug,no_aporto_esta_informacion,no,48,9.127176130715414,1.0986122886681098,0.0,0.0,no
services,married,secondary,no,no,no,cellular,4,jul,no_aporto_esta_informacion,no,48,8.448914350662942,1.0986122886681098,0.0,0.0,no
admin.,married,secondary,no,no,no,cellular,7,oct,no_aporto_esta_informacion,no,56,9.912843647460154,0.6931471805599453,0.0,0.0,no
blue-collar,divorced,secondary,no,yes,no,cellular,8,may,failure,yes,51,8.165647925297504,0.6931471805599453,5.14166355650266,1.791759469228055,no
services,married,secondary,no,yes,no,cellular,28,jan,no_aporto_esta_informacion,no,31,8.203304026795282,0.6931471805599453,0.0,0.0,no
technician,married,secondary,no,yes,no,cellular,21,jul,no_aporto_esta_informacion,no,29,8.231908243564177,1.6094379124341005,0.0,0.0,no
management,married,secondary,no,no,yes,cellular,7,jul,no_aporto_esta_informacion,no,41,8.106212902619962,1.3862943611198906,0.0,0.0,no
technician,single,tertiary,no,no,no,cellular,19,nov,no_aporto_esta_informacion,no,32,8.209308411646937,1.0986122886681098,0.0,0.0,no
management,married,tertiary,no,no,no,cellular,16,jul,success,yes,37,8.106212902619962,1.0986122886681098,5.209486152841421,1.3862943611198906,yes
entrepreneur,divorced,tertiary,yes,yes,no,no_aporto_esta_informacion,5,may,no_aporto_esta_informacion,no,42,8.106816038947052,0.6931471805599453,0.0,0.0,no
management,single,tertiary,no,yes,no,no_aporto_esta_informacion,9,may,no_aporto_esta_informacion,no,31,9.165656764349542,1.0986122886681098,0.0,0.0,no
services,married,tertiary,no,yes,no,no_aporto_esta_informacion,3,jun,no_aporto_esta_informacion,no,41,8.223358899479258,1.791759469228055,0.0,0.0,no
retired,married,secondary,no,yes,no,no_aporto_esta_informacion,15,may,no_aporto_esta_informacion,no,56,8.204945165019208,0.6931471805599453,0.0,0.0,no
management,divorced,tertiary,no,no,no,cellular,14,aug,no_aporto_esta_informacion,no,54,8.78523362361273,1.0986122886681098,0.0,0.0,no
blue-collar,divorced,secondary,no,yes,no,cellular,14,may,otro_resultado,yes,41,8.157370441186774,1.0986122886681098,5.697093486505405,0.6931471805599453,no
technician,single,secondary,no,no,yes,cellular,14,aug,no_aporto_esta_informacion,no,40,10.805740210106356,1.9459101490553128,0.0,0.0,no
blue-collar,divorced,primary,no,no,no,cellular,5,feb,no_aporto_esta_informacion,no,50,8.216898580913613,0.6931471805599453,0.0,0.0,no
unemployed,married,secondary,no,yes,no,cellular,17,nov,failure,yes,40,8.170185652879642,1.0986122886681098,5.2832037287379885,0.6931471805599453,no
